event_id,version,enabled,event_scope,theme_id,weight,cooldown_group,title_ko,description_ko
elnath_frozen_footprints,1,true,theme,elnath,10,noah_trace,얼어붙은 발자국,"눈보라 속에서 노아의 작은 발자국이 균열 쪽으로 이어진다."
elnath_last_campfire,1,true,theme,elnath,8,survival,마지막 모닥불,"꺼져 가는 모닥불 곁에서 노아의 노트 일부가 바람에 흩날린다."
elnath_blizzard_echo,1,true,theme,elnath,7,signal,눈보라의 메아리,"눈보라 너머에서 노아의 목소리와 닮은 구조 신호가 들린다."
elnath_frozen_cabin,1,true,theme,elnath,8,survival,얼어붙은 산장,"눈에 묻힌 산장 안에서 희미한 불빛이 새어 나온다."
elnath_hunter_trail,1,true,theme,elnath,8,hunter,사냥꾼의 흔적,"눈밭에 남은 사냥꾼의 발자국과 화살촉이 이어진다."
elnath_ice_cave,1,true,theme,elnath,7,study,얼음 동굴의 울림,"얼음 벽 너머에서 규칙적인 공명이 들린다."
elnath_snow_owl,1,true,theme,elnath,8,animal,눈올빼미,"눈올빼미 한 마리가 물건을 문 채 먼 곳을 바라본다."
elnath_rope_bridge,1,true,theme,elnath,7,travel,얼어붙은 밧줄다리,"빙벽 사이의 밧줄다리가 금방이라도 끊어질 듯 흔들린다."
elnath_avalanche_warning,1,true,theme,elnath,7,weather,눈사태의 전조,"산등성이에서 낮은 굉음과 함께 눈이 미끄러져 내린다."
elnath_frost_shrine,1,true,theme,elnath,8,shrine,서리 낀 제단,"얼음으로 뒤덮인 제단 위에 오래된 공물이 놓여 있다."
mine_sealed_rail,1,false,theme,mine,10,seal,봉인된 갱도,"청록빛 균열이 새어 나오는 갱도가 낡은 광차와 함께 막혀 있다."
mine_molten_notes,1,false,theme,mine,8,noah_trace,용암에 젖은 노트,"불에 그을린 노트에는 노아가 남긴 균열 좌표가 적혀 있다."
mine_rift_whisper,1,false,theme,mine,7,whisper,균열의 속삭임,"균열 속 목소리가 만지에게 길을 열어 주겠다고 속삭인다."
mine_abandoned_forge,1,false,theme,mine,8,forge,버려진 대장간,"식지 않은 대장간의 모루가 누군가를 기다리는 듯 울린다."
mine_miners_ledger,1,false,theme,mine,8,study,광부의 장부,"낡은 장부에는 위험한 갱도와 숨겨진 보급품이 표시돼 있다."
mine_heat_fissure,1,false,theme,mine,7,weather,열기의 틈,"바닥의 균열에서 뜨거운 바람과 붉은 빛이 솟아난다."
mine_chained_golem,1,false,theme,mine,7,combat,사슬에 묶인 골렘,"무너진 벽 아래에서 사슬에 묶인 골렘이 움직인다."
mine_collapse_warning,1,false,theme,mine,8,travel,붕괴 경보,"갱도 지지대가 삐걱이며 위험한 지름길을 가리킨다."
mine_smuggler_cache,1,false,theme,mine,8,treasure,밀수꾼의 은닉처,"바위틈에서 메소와 낯선 물건이 든 상자를 발견한다."
mine_lava_lift,1,false,theme,mine,7,travel,용암 승강기,"뜨거운 증기를 내뿜는 낡은 승강기가 아래층을 향해 열려 있다."
