event_id,choice_id,sort_order,label_ko,detail_ko
elnath_snow_owl,follow_owl,1,올빼미를 따른다,능력치 보상 획득
elnath_snow_owl,feed_owl,2,먹이를 건넨다,현재 메소 일부 감소 및 다음 상점 무료 구매
elnath_rope_bridge,cross_rope,1,밧줄다리를 건넌다,다음 전투 대시 -1 및 아이템 보상
elnath_rope_bridge,secure_rope,2,밧줄을 고정한다,보통 메소 획득
elnath_avalanche_warning,rush_through,1,눈사태를 뚫는다,일반 강제 전투 후 능력 보상
elnath_avalanche_warning,wait_out,2,안전해질 때까지 기다린다,소량 메소 획득
elnath_frost_shrine,take_offering,1,공물을 받는다,다음 전투 목숨 -1 및 능력치 보상
elnath_frost_shrine,restore_offering,2,공물을 되돌린다,다음 상점 무료 구매 1회
mine_sealed_rail,break_seal,1,봉인을 부순다,엘리트 적 체력 ×2.5 강제 전투
mine_sealed_rail,repair_cart,2,광차를 수리한다,다량 메소 획득
mine_molten_notes,retrieve_notes,1,노트를 건진다,다음 전투 목숨 -1 및 능력치 보상
mine_molten_notes,copy_coordinates,2,좌표만 옮긴다,보통 메소 획득
mine_rift_whisper,trust_whisper,1,목소리를 믿는다,메소 감소 및 일반 강제 전투
mine_rift_whisper,seal_rift,2,균열을 봉인한다,다음 상점 무료 구매 1회
mine_abandoned_forge,use_forge,1,모루를 사용한다,다음 전투 적 체력 증가 및 능력치 보상
mine_abandoned_forge,collect_scrap,2,고철을 챙긴다,보통 메소 획득
mine_miners_ledger,follow_ledger,1,장부를 따른다,아이템 보상 획득
mine_miners_ledger,sell_ledger,2,장부를 판다,다량 메소 획득
mine_heat_fissure,approach_fissure,1,틈에 다가간다,이번 런 대시 회복 속도 감소 및 능력 보상
mine_heat_fissure,avoid_fissure,2,우회한다,소량 메소 획득
mine_chained_golem,release_golem,1,사슬을 푼다,엘리트 강제 전투
mine_chained_golem,search_rubble,2,잔해를 수색한다,보통 메소 획득
mine_collapse_warning,take_shortcut,1,지름길을 택한다,다음 전투 목숨 -1 및 아이템 보상
mine_collapse_warning,reinforce_tunnel,2,갱도를 보강한다,다음 상점 무료 구매 1회
mine_smuggler_cache,open_cache,1,은닉처를 연다,현재 메소 일부 감소 및 아이템 보상
mine_smuggler_cache,report_cache,2,은닉처를 신고한다,능력치 보상 획득
mine_lava_lift,ride_lift,1,승강기를 탄다,일반 강제 전투 후 능력 보상
mine_lava_lift,cool_lift,2,증기를 식힌다,다량 메소 획득
