event_id,choice_id,outcome_id,probability,forced_combat,forced_combat_reward_policy,reward_ref,result_summary_ko
orbis_cloud_bridge,reinforce_bridge,reinforce_success,1.0,,event_defined,meso_m,보강 작업의 보답으로 메소를 챙겼다.
orbis_star_chart,read_chart,chart_success,1.0,,event_defined,normal_ability_choice,항해도에서 균열을 읽는 방법을 깨달았다.
orbis_star_chart,sell_chart,sell_success,1.0,,event_defined,meso_l,희귀한 항해도는 값비싸게 팔렸다.
orbis_wind_vane,turn_vane,vane_success,1.0,,event_defined,normal_stat_choice,폭풍을 읽은 감각이 성장으로 남았다.
orbis_wind_vane,ignore_vane,ignore_success,1.0,,event_defined,meso_m,풍향계를 지나며 메소를 발견했다.
orbis_sky_pirate_signal,answer_signal,signal_success,0.5,,event_defined,normal_ability_choice,신호가 쓸 만한 전투 기술로 이어졌다.
orbis_sky_pirate_signal,answer_signal,signal_ambush,0.5,elite,stage_standard,elite_combat_reward,신호는 공중 해적의 매복이었다.
orbis_sky_pirate_signal,hide_signal,hide_success,1.0,,event_defined,meso_s,추적을 피해 메소만 챙겼다.
orbis_cursed_feather,hold_feather,feather_success,1.0,,event_defined,normal_item_choice,깃털이 불길한 힘과 함께 물건을 남겼다.
orbis_cursed_feather,burn_feather,burn_success,1.0,,event_defined,meso_m,재 속에서 메소를 건졌다.
orbis_fallen_observatory,climb_observatory,climb_success,1.0,,event_defined,normal_ability_choice,관측 기록에서 새로운 능력의 단서를 얻었다.
orbis_fallen_observatory,survey_ground,survey_success,1.0,,event_defined,meso_m,지상 장비에서 메소를 발견했다.
orbis_airy_pouch,open_pouch,pouch_success,1.0,,event_defined,meso_l,주머니 속에 숨겨진 메소가 흩날렸다.
orbis_airy_pouch,release_pouch,release_success,1.0,,event_defined,,바람이 다음 상점까지 길을 열어 주었다.
elnath_frozen_footprints,follow_steps,follow_success,1.0,,event_defined,normal_item_choice,발자국 끝에서 쓸 만한 물품을 찾았다.
elnath_frozen_footprints,take_detour,detour_success,1.0,,event_defined,meso_m,바람을 피해 안전하게 이동했다.
elnath_last_campfire,save_ember,ember_success,1.0,,event_defined,,불씨가 다음 상점까지 이어질 길을 비춘다.
elnath_last_campfire,recover_notes,notes_success,1.0,,event_defined,normal_stat_choice,노트에 남은 기록에서 성장의 단서를 얻었다.
elnath_blizzard_echo,answer_signal,signal_success,0.5,,event_defined,normal_ability_choice,신호가 노아의 연구 기록과 맞닿는다.
elnath_blizzard_echo,answer_signal,signal_ambush,0.5,elite,stage_standard,elite_combat_reward,신호는 균열의 매복이었다.
elnath_blizzard_echo,record_signal,record_success,1.0,,event_defined,meso_s,신호의 좌표를 기록하고 보급품을 챙겼다.
elnath_frozen_cabin,enter_cabin,cabin_success,1.0,,event_defined,normal_item_choice,산장 안에서 보급품을 발견했다.
elnath_frozen_cabin,collect_firewood,wood_success,1.0,,event_defined,,장작이 다음 상점의 표식으로 바뀌었다.
elnath_hunter_trail,follow_hunter,hunter_combat,1.0,elite,stage_standard,elite_combat_reward,발자국의 주인이 길을 가로막는다.
elnath_hunter_trail,collect_arrows,arrows_success,1.0,,event_defined,meso_m,화살촉을 팔아 메소를 얻었다.
elnath_ice_cave,resonate,resonate_success,1.0,,event_defined,normal_ability_choice,공명이 능력의 단서로 남았다.
elnath_ice_cave,mark_cave,mark_success,1.0,,event_defined,meso_s,표시를 남기고 보급품을 챙겼다.
elnath_snow_owl,follow_owl,owl_success,1.0,,event_defined,normal_stat_choice,올빼미가 이끈 곳에서 성장의 단서를 얻었다.
elnath_snow_owl,feed_owl,feed_success,1.0,,event_defined,,올빼미가 다음 상점의 표식을 물어 왔다.
elnath_rope_bridge,cross_rope,rope_success,1.0,,event_defined,normal_item_choice,다리 건너편에서 보급품을 얻었다.
elnath_rope_bridge,secure_rope,secure_success,1.0,,event_defined,meso_m,보강한 대가로 메소를 얻었다.
elnath_avalanche_warning,rush_through,avalanche_combat,1.0,normal,event_defined,normal_ability_choice,눈사태 속 적을 물리치고 길을 열었다.
elnath_avalanche_warning,wait_out,wait_success,1.0,,event_defined,meso_s,눈이 잦아든 뒤 메소를 발견했다.
elnath_frost_shrine,take_offering,offering_success,1.0,,event_defined,normal_stat_choice,차가운 공물이 성장의 단서가 됐다.
elnath_frost_shrine,restore_offering,restore_success,1.0,,event_defined,,제단의 빛이 다음 상점까지 이어진다.
mine_sealed_rail,break_seal,elite_combat,1.0,elite,stage_standard,elite_combat_reward,봉인 뒤의 수호자가 모습을 드러낸다.
mine_sealed_rail,repair_cart,repair_success,1.0,,event_defined,meso_l,광차에서 값진 광물을 회수했다.
mine_molten_notes,retrieve_notes,retrieve_success,1.0,,event_defined,normal_stat_choice,뜨거운 노트에서 좌표와 성장의 단서를 얻었다.
mine_molten_notes,copy_coordinates,copy_success,1.0,,event_defined,meso_m,좌표만 옮기고 위험을 피했다.
mine_rift_whisper,trust_whisper,combat_victory,1.0,normal,event_defined,normal_ability_choice,목소리가 연 길에서 적이 모습을 드러낸다.
mine_rift_whisper,seal_rift,seal_success,1.0,,event_defined,,봉인한 균열이 다음 상점까지 유지된다.
mine_abandoned_forge,use_forge,forge_success,1.0,,event_defined,normal_stat_choice,대장간의 열기가 전투 감각을 벼렸다.
mine_abandoned_forge,collect_scrap,scrap_success,1.0,,event_defined,meso_m,고철을 팔아 메소를 얻었다.
mine_miners_ledger,follow_ledger,ledger_success,1.0,,event_defined,normal_item_choice,장부가 가리킨 보급품을 발견했다.
mine_miners_ledger,sell_ledger,sell_success,1.0,,event_defined,meso_l,장부를 값비싸게 팔았다.
mine_heat_fissure,approach_fissure,fissure_success,1.0,,event_defined,normal_ability_choice,열기의 흐름에서 능력의 단서를 얻었다.
mine_heat_fissure,avoid_fissure,avoid_success,1.0,,event_defined,meso_s,위험을 피하며 메소를 챙겼다.
mine_chained_golem,release_golem,golem_combat,1.0,elite,stage_standard,elite_combat_reward,풀려난 골렘이 적의를 드러낸다.
mine_chained_golem,search_rubble,rubble_success,1.0,,event_defined,meso_m,잔해 아래에서 메소를 발견했다.
mine_collapse_warning,take_shortcut,shortcut_success,1.0,,event_defined,normal_item_choice,무너지는 갱도 끝에서 보급품을 얻었다.
mine_collapse_warning,reinforce_tunnel,reinforce_success,1.0,,event_defined,,보강한 갱도가 다음 상점의 표식으로 이어진다.
mine_smuggler_cache,open_cache,cache_success,1.0,,event_defined,normal_item_choice,값을 치르고 은닉처의 물건을 손에 넣었다.
mine_smuggler_cache,report_cache,report_success,1.0,,event_defined,normal_stat_choice,신고의 보답으로 성장의 단서를 얻었다.
mine_lava_lift,ride_lift,lift_combat,1.0,normal,event_defined,normal_ability_choice,승강기 아래의 적을 물리치고 길을 열었다.
mine_lava_lift,cool_lift,cool_success,1.0,,event_defined,meso_l,식은 승강기에서 값진 광물을 얻었다.
